item_a,item_b,correlation,partition
i have difficulty showing affection.,i need reassurance.,-0.102758945,train
i am annoyed by others' mistakes.,i get upset easily.,0.423265075,train
"my opinions and beliefs fit together perfectly to make a crystal-clear ""picture"" of things.",i feel embarrassed if someone compliments me.,-0.09905645,train
i always know what i am doing.,i want everything to add up perfectly.,0.154325107,train
i feel that i have a lot of inner strength.,i put little time and effort into my work.,-0.200011608,train
i find it silly for people to cry out of happiness.,i like to have a place for everything and everything in its place.,-0.061877974,train
i suspect that my facial expressions give me away when i feel sad.,i get deeply immersed in music.,0.091956229,train
i enjoy being part of a loud crowd.,i love my enemies.,0.081930028,train
i hold a grudge.,i get so involved with things that i forget the time.,-0.010002476,train
i try to outdo others.,i am full of ideas.,0.132157497,train
i feel that others misunderstand me.,i find fault with everything.,0.344879003,train
i am inclined to forgive others.,i dislike loud music.,-0.088991449,train
i go straight for the goal.,i try not to think about the needy.,-0.017592387,train
i plan my life logically.,i panic easily.,-0.164170933,train
i do just enough work to get by.,i hold a grudge.,0.033542008,train
i want everything to add up perfectly.,i am a goal-oriented person.,0.270750209,train
i feel that people are against me.,i don't pride myself on being original.,0.13321846,train
"even when i'm by myself, i'm often amused by the absurdities of life.","if i am feeling sad or upset, i usually lose my sense of humor.",-0.106257115,train
i tell other people what they want to hear so that they will do what i want them to do.,i would never take things that aren't mine.,-0.235405344,train
i feel healthy and vibrant most of the time.,i am hard to get to know.,-0.189753665,train
i feel that people have a hard time understanding me.,i have never engaged in gossip.,0.073120164,train
i am never at a loss for words.,i seldom joke around.,-0.104821325,train
i do things without thinking of the consequences.,i stick to the rules.,-0.288275288,train
i am not afraid of providing criticism.,i carry the conversation to a higher level.,0.246885791,train
i can say things beautifully.,i catch on to things quickly.,0.267412507,train
i am interested in people.,i believe that laws should be strictly enforced.,-0.00826859,train
i stop when work becomes too difficult.,i am nice to people i should be angry at.,-0.014876318,train
i engage in discussions.,i have a slow pace to my life.,-0.24173959,train
i become frustrated and angry with people when they don't live up to my expectations.,i dislike routine.,0.016992563,train
i do things out of revenge.,i know immediately what to do.,-0.046039663,train
i anticipate the needs of others.,i avoid imposing my will on others.,0.091303818,train
i feel that others misunderstand me.,i usually enjoy being with people.,-0.323028871,train
i find political discussions interesting.,"i want everything to be ""just right"".",-0.010870585,train
i have trouble thinking of the right words to express how i feel about things.,"when i do things, i get totally wrapped up in them and don't think about anything else.",-0.10342196,train
i have never engaged in gossip.,i seek status.,-0.065119635,train
i do things out of revenge.,i seek quiet.,-0.059738585,train
i love my enemies.,i stop when work becomes too difficult.,-0.054795114,train
when i see a problem i prefer to do something about it rather than sit by and let it continue.,i am competent and capable in the activities that are important to me.,0.129067504,train
i'd rather run my own business and make my own mistakes than listen to someone else's orders.,i always want to know what the future has in store for me.,0.015704977,train
i plan my life logically.,i will not probe deeply into a subject.,-0.089059005,train
i do things by the book.,i feel crushed by setbacks.,0.022422532,train
i believe that we should be tough on crime.,i postpone decisions.,-0.125376928,train
i am considered to be kind of eccentric.,i immediately feel sad when hearing of an unhappy event.,-0.104823977,train
i always want to know what the future has in store for me.,i'm usually aware of my appearance.,0.113138263,train
i am easily annoyed.,i rebel against authority.,0.073738885,train
i cry during movies.,i pay attention to details.,-0.004687031,train
i am exacting in my work.,i know immediately what to do.,0.222945841,train
i am interested in people.,i often express doubts.,-0.099466789,train
i avoid mistakes.,i love to reflect on things.,0.132889913,train
"i would never break a law, no matter how minor.",i can tune into how someone else feels rapidly and intuitively.,0.014515175,train
there are many people i can trust completely.,i often daydream about myself.,0.003103542,train
i seldom get mad.,i love to read challenging material.,0.032155692,train
i get caught up in my problems.,i panic easily.,0.46728032,train
i look at the bright side of life.,i love order and regularity.,0.041731229,train
i seldom daydream.,i am under constant pressure.,-0.065631913,train
i enjoy intellectual games.,i continue until everything is perfect.,0.137468967,train
i get even with others.,i will not probe deeply into a subject.,0.064574844,train
i express myself easily.,i would fear walking in a high-crime part of a city.,-0.017081046,train
i keep things tidy.,i have leadership abilities.,0.093148364,train
i carry the conversation to a higher level.,i would not regret my behavior if i were to take advantage of someone impulsively.,0.006812987,train
i get upset easily.,i would feel very badly for a long time if i were to steal from someone.,0.051368532,train
i don't make eye contact when i talk with people.,"when i was a child, i put on fake concerts and plays with my friends.",-0.118933059,train
i stop when work becomes too difficult.,i think that all will be well.,-0.176546279,train
i feel healthy and vibrant most of the time.,i get upset by unpleasant thoughts that come into my mind.,-0.174668109,train
i look at the bright side of life.,i seek conflict.,-0.196749375,train
i dislike routine.,i value cooperation over competition.,0.074736721,train
i seem to derive less enjoyment from interacting with people than others do.,"i when interacting with a group of people, am often bothered by at least one of them.",0.329137974,train
i feel that people are against me.,i keep things tidy.,-0.085534238,train
i prefer familiar situations to new ones.,my social relationships are supportive and rewarding.,-0.119261412,train
i involve others in what i am doing.,i love surprise parties.,0.327724981,train
i am quick to judge others.,i become overwhelmed by events.,0.103636861,train
"when i lend someone money, i expect them to pay me back exactly what they owe me.","when i travel, i like to learn specific details about the culture of the place i am visiting.",0.016652353,train
i am good at taking advice.,i dislike being the center of attention.,-0.096400214,train
i suspect that my facial expressions give me away when i feel sad.,i try to impress others.,0.109703106,train
money acquired easily (e.g. through gambling or speculation) is usually spent unwisely.,a distaste for hard work usually reflects a weakness of character.,0.360067327,train
i am relaxed most of the time.,i involve others in what i am doing.,0.091044938,train
i am afraid that i will do the wrong thing.,i believe that people are basically moral.,0.027592308,train
i am never at a loss for words.,i would be afraid to give a speech in public.,-0.327792369,train
i am the life of the party.,i never spend more than i can afford.,-0.140735442,train
i get overwhelmed by emotions.,"i want everything to be ""just right"".",0.123330145,train
i dislike loud music.,i find life difficult.,0.102513738,train
i am skilled in handling social situations.,i react slowly.,-0.333016245,train
i am quick to notice other people's reactions to the sexual aspects of my own life.,the main thing which affects the sexual aspects of my life is what i myself do.,0.125760189,train
i avoid contacts with others.,i hold a grudge.,0.194041034,train
i always know what i am doing.,i am interested in people.,0.035858972,train
i would not enjoy a job that involves a lot of social interaction.,i dislike imperfect work.,0.094254111,train
i detect mistakes.,i would be afraid to give a speech in public.,-0.0768996,train
i am good at taking advice.,"i enjoy being thought of as a normal ""mainstream"" person.",0.059090247,train
i am nice to people i should be angry at.,i don't pride myself on being original.,0.001394947,train
i have the skills and ability to ensure rewarding sexual behaviors for myself.,"if i just pay careful attention, i'll be able to prevent myself from having any sexual problems.",0.223547514,train
i don't feel very energetic.,i nearly always feel alert and awake.,-0.49600938,train
i love to be the center of attention.,i am often bored.,0.033927487,train
i act without consulting others.,i am often in a bad mood.,0.12510832,train
i am willing to take risks.,i like to begin new things.,0.36503992,train
i love my enemies.,i seek quiet.,-0.043280828,train
i choose my words with care.,i get upset if others change the way that i have arranged things.,-0.052513623,train
i can't stand weak people.,i get upset if others change the way that i have arranged things.,0.232382938,train
i do unexpected things.,i seldom daydream.,-0.070678398,train
i consider myself an average person.,i find it necessary to please the people who have power.,0.129953546,train
i do things that others find strange.,i hate waiting for anything.,0.114182328,train
i avoid contacts with others.,"i want everything to be ""just right"".",0.062565795,train
i get confused easily.,i spend time thinking about past mistakes.,0.283559218,train
long amounts of time can go by before i feel grateful to something or someone.,there is always someone i can talk to about my day-to-day problems.,-0.19620349,train
i am full of ideas.,i enjoy intellectual games.,0.283587669,train
i feel at ease with people.,i just know that i will be a success.,0.319604312,train
i get a strong urge to help when i see someone who is upset.,i'm usually aware of my appearance.,0.151975866,train
i am a person whose moods go up and down easily.,i rarely feel depressed.,-0.450050102,train
study animal behavior.,"anxious, easily upset.",0.046049514,train
i feel that most people can't be trusted.,i would describe my experiences as somewhat dull.,0.088364395,train
i get overwhelmed by emotions.,i know that my ideas sometimes surprise people.,0.033813847,train
i seldom notice the emotional aspects of paintings and pictures.,i tend to dislike soft-hearted people.,0.122889026,train
i tend to feel happy and irritable at the same time.,i am relaxed most of the time.,-0.180638881,train
i am not the type of person who probes deeply into new situations or things.,i wish i could push many of life's daily decisions off on someone else.,0.227519626,train
i contradict others.,i seek status.,0.146742827,train
i find it hard to forgive others.,i get upset if others change the way that i have arranged things.,0.227011728,train
i find it necessary to please the people who have power.,i obstruct others' plans.,-0.000684822,train
i often express doubts.,"i when with a group, have difficulties selecting a good topic to talk about.",0.223537625,train
i have a natural talent for influencing people.,i do not have an assertive personality.,-0.379075842,train
i am easily distracted.,i don't mind being the center of attention.,0.009860045,train
i wish i could push many of life's daily decisions off on someone else.,long amounts of time can go by before i feel grateful to something or someone.,0.264181897,train
i am a person whose moods go up and down easily.,i am often in a bad mood.,0.531458663,train
i just know that i will be a success.,i usually like to spend my free time with people.,0.144940573,train
i don't know why i do some of the things i do.,i hate waiting for anything.,0.116025607,train
i am quick to spot when someone in a group is feeling awkward or uncomfortable.,i find it difficult to do two things at once.,0.035452627,train
i seldom joke around.,i would feel very badly for a long time if i were to steal from someone.,0.047020228,train
i feel that people are against me.,i prefer to eat at expensive restaurants.,0.037402672,train
i am not good at deceiving other people.,i make plans and stick to them.,0.184743244,train
i rarely feel angry with people.,i am an original thinker.,0.026030546,train
i have never engaged in gossip.,i make people feel at ease.,-0.036592016,train
i am good at taking advice.,i feel that others misunderstand me.,-0.237195232,train
i talk even when i know i shouldn't.,i would never take things that aren't mine.,-0.101470589,train
i resist authority.,i am hard to get to know.,0.232820004,train
i need reassurance.,i hate being the center of attention.,0.007457042,train
i say little.,"i want everything to be ""just right"".",0.056099653,train
i go straight for the goal.,i just know that i will be a success.,0.445039181,train
i become uncomfortable when the rules in a situation are not clear.,i'm usually aware of my appearance.,0.029552565,train
i speak ill of others.,i get even with others.,0.296055359,train
i am open about my feelings.,i avoid mistakes.,-0.025054122,train
i hate waiting for anything.,i talk even when i know i shouldn't.,0.236106144,train
i speak ill of others.,i can't stand being contradicted.,0.250156319,train
i am exacting in my work.,i would hate to be considered odd or strange.,0.061652523,train
i catch on to things quickly.,i don't think that i'm better than other people.,-0.088258922,train
i react quickly.,i seek quiet.,-0.120135527,train
i am the life of the party.,i panic easily.,-0.127693726,train
i avoid dangerous situations.,i would not regret my behavior if i were to take advantage of someone impulsively.,-0.203932907,train
i make people feel at ease.,i prefer to eat at expensive restaurants.,0.065123083,train
i am the life of the party.,i hate waiting for anything.,0.06110195,train
i obstruct others' plans.,i am not all that curious about the world.,-0.015059422,train
problems that cannot be considered from just one point of view are a little threatening.,"in general, i think that i can obtain outcomes that are important to me.",-0.16910599,train
i really enjoy caring for other people.,i find it easy to carry on a conversation with someone i've just met.,-0.021155144,train
i am afraid to draw attention to myself.,i can say things beautifully.,-0.290361812,train
i know that my ideas sometimes surprise people.,i am a goal-oriented person.,0.060053796,train
i do things that others find strange.,i get even with others.,0.122048462,train
i am quick to judge others.,i engage in discussions.,-0.095662433,train
i always know why i do things.,i would never go hang-gliding or bungee-jumping.,0.074888059,train
i feel a sense of worthlessness or hopelessness.,i am skilled in handling social situations.,-0.315736422,train
i detect mistakes.,i have read the great literary classics.,0.090865083,train
i indulge in my fantasies.,i disclose my intimate thoughts.,0.080852655,train
"when someone else is feeling excited, i tend to get excited too.",i do not feel sympathy for people who cause their own serious illnesses.,-0.234315699,train
i want to be in charge.,i prefer to do things by myself.,0.026242123,train
i continue until everything is perfect.,i don't think that i'm better than other people.,-0.011935722,train
i am not bothered by difficult social situations.,i am not easily amused.,-0.110888893,train
"if i say something that someone else is offended by, i think that that's their problem, not mine.","if there was a problem with the electrical wiring in my home, i'd be able to fix it myself.",0.144961755,train
i don't pretend to be more than i am.,i get deeply immersed in music.,-0.036972351,train
i enjoy intellectual games.,i often feel uncomfortable around others.,0.059253823,train
i don't think that i'm better than other people.,i like to begin new things.,0.006863323,train
i love order and regularity.,i seem to derive less enjoyment from interacting with people than others do.,0.044516588,train
i dislike loud music.,i love to reflect on things.,0.033814634,train
i can handle a lot of information.,i feel a sense of worthlessness or hopelessness.,-0.170915002,train
i consider myself an average person.,i would never take things that aren't mine.,0.109475584,train
i do not enjoy watching dance performances.,i make careless mistakes.,0.069070784,train
i prefer not to show a partner how i feel deep down.,i find that my partner(s) don't want to get as close as i would like.,-0.015811225,train
i act like different people in different situations.,i choose my words with care.,-0.120790227,train
i often feel lucky.,i hate to ask for help.,-0.160469924,train
i sympathize with others' feelings.,i am an original thinker.,0.034489513,train
i keep others at a distance.,i want everything to add up perfectly.,0.109857226,train
i am very shy in social situations.,i seldom daydream.,-0.0740752,train
i love to be the center of attention.,i am under constant pressure.,0.006073804,train
i immediately feel sad when hearing of an unhappy event.,i plunge into tasks with all my heart.,0.204815786,train
i can handle complex problems.,i just know that i will be a success.,0.291167441,train
i seldom feel blue.,i am exacting in my work.,0.111554869,train
i don't have much energy.,i enjoy games of strategy.,-0.115672356,train
i can handle a lot of information.,i have read the great literary classics.,0.261758094,train
i panic easily.,i show my feelings when i'm happy.,-0.096209803,train
i am considered to be kind of eccentric.,i am often in a bad mood.,0.121821248,train
"i make decisions based on facts, not feelings.",i am romantic.,-0.203573416,train
i don't let others cut in front of me in line.,i disclose my intimate thoughts.,-0.018398466,train
i am disappointed about the quality of my sex life.,i feel discouraged about my sex life.,0.692089729,train
i like to act on a whim.,i often feel uncomfortable around others.,-0.124267649,train
i am always prepared.,i like to do things for others.,0.155192762,train
i am inclined to forgive others.,i love to eat.,-0.034057042,train
i often feel lucky.,i would never go to a dance club.,-0.142275558,train
i am annoyed by others' mistakes.,i hate being the center of attention.,-0.014860976,train
i have attacked someone physically.,i spend a lot of time reading.,-0.011762248,train
i am not easily amused.,i do things out of revenge.,0.16291624,train
i love my enemies.,"i want everything to be ""just right"".",0.067107759,train
i anticipate the needs of others.,i would never go hang-gliding or bungee-jumping.,-0.010595699,train
i avoid dangerous situations.,there are plenty of people i can lean on when i have problems.,-0.013496684,train
i come up with something new.,i can't stand being contradicted.,-0.056858234,train
i maintain high energy throughout the day.,i take offense easily.,-0.089119674,train
i can't stand confrontations.,i keep my emotions under control.,-0.114358273,train
i love to reflect on things.,i try to impress others.,0.089256589,train
i am mainly interested in money.,i find fault with everything.,0.116422224,train
i let people push me around to help them feel important.,i react quickly.,-0.197188529,train
i am passionate about causes.,i would never take things that aren't mine.,0.089504404,train
i do not like concerts.,i know how to comfort others.,-0.193309308,train
i do things by the book.,i see myself as an average person.,0.259489611,train
i am annoyed by others' mistakes.,i avoid mistakes.,0.164957528,train
i detect mistakes.,i do just enough work to get by.,-0.081892448,train
i always know what i am doing.,i always know why i do things.,0.45060288,train
i derive a sense of self-pride from the way i handle my own sexual needs and desires.,i have the skills and ability to ensure rewarding sexual behaviors for myself.,0.501084166,train
i react slowly.,i would not enjoy a job that involves a lot of social interaction.,0.179996626,train
i like to begin new things.,i would describe my experiences as somewhat dull.,-0.239889994,train
i am wary of others.,i have a strong need for power.,0.112462117,train
"in general, i think it is important to follow rules.","reserved, quiet.",0.104550784,train
i am not easily annoyed.,i do things by the book.,0.038231787,train
i enjoy intellectual games.,i am likely to show off if i get the chance.,0.033943074,train
"reserved, quiet.","sympathetic, warm.",-0.076024239,train
i find it difficult to manipulate others.,i think that all will be well.,0.066914149,train
i believe in an eye for an eye.,"i want everything to be ""just right"".",0.114034984,train
i do not like concerts.,i prefer to eat at expensive restaurants.,-0.005919271,train
i find it difficult to manipulate others.,i love luxury.,-0.084991834,train
i am competent enough to make sure that my sexual needs are fulfilled.,my sexuality is something that i myself am in charge of.,0.368867591,train
i felt that i had lost interest in just about everything.,i feared that i would be 'thrown' by some trivial but unfamiliar task.,0.41136938,train
i am interested in people.,i stop when work becomes too difficult.,0.013272687,train
i avoid dangerous situations.,i don't bother worrying about political and social problems.,-0.019251723,train
i always know why i do things.,i feel that others misunderstand me.,-0.14528192,train
i express myself easily.,i seldom feel weepy while reading the sad part of a story.,-0.05592618,train
i make careless mistakes.,i suspect that my facial expressions give me away when i feel sad.,0.04055116,train
i detect mistakes.,i feel that others misunderstand me.,0.025995942,train
i know that my ideas sometimes surprise people.,i am inclined to forgive others.,0.022515948,train
i can be stirred up easily.,i tell other people what they want to hear so that they will do what i want them to do.,0.071715323,train
i keep things tidy.,i get chores done right away.,0.469638641,train
i get even with others.,i like to act on a whim.,0.058099183,train
"when i look at an animal, i like to know the precise species it belongs to.","when an election is being held, i am not interested in the results for each constituency.",-0.134424882,train
i am interested in many things.,i love order and regularity.,-0.031845728,train
when i see a problem i prefer to do something about it rather than sit by and let it continue.,i enjoy having sex with people i hardly know.,-0.09943985,train
i am not easily amused.,i feel that most people can't be trusted.,0.218470377,train
i often express doubts.,i wish to stay young forever.,0.010042728,train
i pay attention to details.,i show my feelings when i'm happy.,0.099687259,train
i am wary of others.,i engage in discussions.,-0.167879666,train
i engage in discussions.,i speak softly.,-0.320929469,train
i am devoted to religion.,i spend more money than i have.,-0.034541692,train
i enjoy being part of a loud crowd.,i often feel uncomfortable around others.,-0.319964965,train
i often feel uncomfortable around others.,i plunge into tasks with all my heart.,-0.216525432,train
i avoid company.,i do not enjoy watching dance performances.,0.182617674,train
i get uncomfortable when a romantic partner wants to be very close.,"when i'm not involved in a relationship, i feel somewhat anxious and insecure.",-0.04984012,train
i am skilled in handling social situations.,i avoid dangerous situations.,-0.0918127,train
i see myself as an average person.,i am considered to be kind of eccentric.,-0.174918776,train
my opinions are right and will stand the test of time.,"before i leave my house, i check how i look.",0.016100268,train
i have sometimes had to tell a lie.,i know how to comfort others.,0.012429989,train
i am willing to take risks.,i do things that others find strange.,0.168485817,train
"when i am actively interested in something, it takes a great deal to interrupt me.",i look forward to each new day.,0.14249071,train
i continue until everything is perfect.,i like to begin new things.,0.035208823,train
i am exacting in my work.,i am interested in many things.,0.044255385,train
i keep things tidy.,i hold a grudge.,-0.037714863,train
i hate being the center of attention.,i make careless mistakes.,-0.028242209,train
i always know why i do things.,i shirk my duties.,-0.216248368,train
i love my enemies.,i seek status.,-0.043332584,train
people should behave according to established standards of proper conduct.,"open to new experiences, complex.",-0.224098147,train
i am out for my own personal gain.,i am sure of my ground.,0.020645333,train
it doesn't bother me too much if i am late meeting a friend.,i often wonder what it would be like to be someone else.,0.079764827,train
i don't worry about things that have already happened.,i find it necessary to please the people who have power.,-0.130113067,train
i react strongly to criticism.,i get even with others.,0.06515519,train
i am not good at telling jokes.,i plan my life logically.,-0.00476809,train
there are many situations in which i would prefer only one choice rather than having to make a decision.,i never take a hard look at myself.,0.035377481,train
i look at the bright side of life.,i take no time for others.,-0.231765465,train
i am hard to convince.,i stick to the rules.,-0.066799274,train
i am relaxed most of the time.,i feel that people have a hard time understanding me.,-0.202632369,train
i found myself in situations that made me so anxious i was most relieved when they ended.,i was in a state of nervous tension.,0.546432384,train
i want to be left alone.,i enjoy my privacy.,0.399357154,train
i find it necessary to please the people who have power.,i don't pretend to be more than i am.,-0.182842039,train
i try to follow the rules.,i usually like to spend my free time with people.,0.027977418,train
i amuse my friends.,i can't do without the company of others.,0.194380412,train
i detect mistakes.,i am likely to show off if i get the chance.,0.078300701,train
i get overwhelmed by emotions.,i make a fool of myself.,0.241584952,train
other people tell me i am good at understanding how they are feeling and what they are thinking.,i tend to get emotionally involved with a friend's problems.,0.070254433,train
i make big physical movements whenever i get excited.,i make people feel at ease.,0.15123698,train
i do things that others find strange.,i love to eat.,-0.006187977,train
i enjoy being part of a loud crowd.,i feel healthy and vibrant most of the time.,0.253291583,train
i am sure of my ground.,i speak ill of others.,-0.109845274,train
i mess things up.,i would never take things that aren't mine.,-0.247885265,train
it is wise to flatter important people.,it is hard to get ahead without cutting corners here and there.,0.341794425,train
i am exacting in my work.,i can't stand weak people.,0.077092637,train
i avoid contacts with others.,i have a soft heart.,-0.228357424,train
i anticipate the needs of others.,i hold a grudge.,-0.036599173,train
i believe in human goodness.,i dislike being the center of attention.,-0.155308553,train
i am easy to satisfy.,i rarely look for a deeper meaning in things.,-0.001979222,train
i am hard to convince.,i do things that others find strange.,0.147908011,train
i do things that others find strange.,"i want everything to be ""just right"".",0.022424464,train
i demand a lot from others.,i do not have an assertive personality.,-0.109268607,train
i like to act on a whim.,i would never take things that aren't mine.,-0.159080164,train
i'm motivated to devote time and effort to sex.,the sexual aspects of my life are largely a matter of (good or bad) fortune.,-0.003138148,train
"regardless of what is logical, i generally listen to my heart when making important decisions.",i am very empathetic.,0.343244841,train
i make plans and stick to them.,i don't pretend to be more than i am.,0.073764011,train
i am quick to understand things.,i have a strong need for power.,0.064042367,train
i can pick up quickly if someone says one thing but means another.,"in maths, i am intrigued by the rules and patterns governing numbers.",0.244078034,train
i feel a sense of worthlessness or hopelessness.,i love luxury.,0.068555548,train
i would fear walking in a high-crime part of a city.,i am not all that curious about the world.,0.049426149,train
i am often in a bad mood.,i am usually active and full of energy.,-0.365177024,train
i have difficulty expressing my feelings.,i inquire about others' well-being.,-0.25855432,train
"not only would i be a good sexual partner, but it's quite important to me that i be a good sexual partner.",i feel discouraged about my sex life.,-0.187087017,train
i am not easily annoyed.,i have a natural talent for influencing people.,0.081441515,train
i am relaxed most of the time.,i follow a schedule.,-0.029583578,train
i have frequent mood swings.,i find it hard to forgive others.,0.304558055,train
"when i was a child, i enjoyed cutting up worms to see what would happen.",i enjoy participating in sport.,-0.082165554,train
i am indifferent to the feelings of others.,i seem to derive less enjoyment from interacting with people than others do.,0.258007075,train
i talk a lot.,i want everything to add up perfectly.,0.050570427,train
i plan my life logically.,i believe in a universal power or god.,-0.001535122,train
i am always prepared.,i wish to stay young forever.,-0.048225709,train
i am the life of the party.,i am an original thinker.,0.140216082,train
i have leadership abilities.,i seldom experience sudden intuitive insights.,-0.075302136,train
i dislike imperfect work.,i get deeply immersed in music.,0.017019347,train
i would rather someone else took over the leadership role when i'm involved in a group project.,there is always someone i can talk to about my day-to-day problems.,-0.153134691,train
i try to follow the rules.,i am afraid that i will do the wrong thing.,0.07939445,train
i usually stay emotionally detached when watching a film.,"if there was a problem with the electrical wiring in my home, i'd be able to fix it myself.",-0.102879574,train
i enjoy being part of a loud crowd.,i have difficulty imagining things.,-0.10295847,train
i find fault with everything.,i know that my ideas sometimes surprise people.,0.015779269,train
i find it difficult to manipulate others.,i speak softly.,0.146493922,train
i am not easily amused.,i listen to my conscience.,-0.19862294,train
operate a beauty salon or barber shop.,"extraverted, enthusiastic.",0.149121798,train
i act wild and crazy.,i obstruct others' plans.,0.152341694,train
i try to follow the rules.,i am not a very enthusiastic person.,-0.016130319,train
i do things out of revenge.,i am a goal-oriented person.,-0.04016488,train
my friends would say i am very curious.,"when i wake up from a vivid dream, it takes me a few seconds to return to reality.",0.100979131,train
i get upset if others change the way that i have arranged things.,i like to be thought of as a normal kind of person.,-0.000626143,train
i am usually active and full of energy.,i hold back my opinions.,-0.167039518,train
i come up with something new.,i do things that others find strange.,0.23743374,train
i am full of ideas.,i love to read challenging material.,0.275942567,train
i do things that others find strange.,i have a soft heart.,-0.117713829,train
i avoid contacts with others.,i feel that i have a lot of inner strength.,-0.203223393,train
i become overwhelmed by events.,i can't stand weak people.,-0.101309804,train
"i find it difficult to explain to others things that i understand easily, when they don't understand it first time.",i am quick to spot when someone in a group is feeling awkward or uncomfortable.,-0.077340224,train
i usually like to spend my free time with people.,i felt close to my parents when i was a child.,0.088835009,train
i hate being the center of attention.,i seem to derive less enjoyment from interacting with people than others do.,0.397012872,train
i am considered to be kind of eccentric.,i can't do without the company of others.,0.027650358,train
study animal behavior.,"extraverted, enthusiastic.",-0.05566777,train
i always know what i am doing.,i am just an ordinary person.,-0.169442321,train
i can't stand weak people.,i try to understand myself.,-0.000365871,train
i am the life of the party.,i have a soft heart.,0.062570408,train
i like to do things for others.,i try to impress others.,-0.02422472,train
i amuse my friends.,i make careless mistakes.,-0.002059344,train
i am quick to spot when someone in a group is feeling awkward or uncomfortable.,"after meeting someone just once or twice, i find it difficult to remember precisely what they look like.",0.009275453,train
i have no special urge to do something original.,i don't attempt to conform to society's expectations.,-0.151652784,train
i can handle complex problems.,i can't be bothered with other's needs.,-0.076609428,train
"my sexual behaviors are largely controlled by people other than myself (e.g., my partner, friends, family).",i'm constantly thinking about having sex.,0.111956967,train
i avoid contacts with others.,i criticize others' shortcomings.,0.237809821,train
i have a fear of sexual relationships.,i think about sex the majority of the time.,-0.154551259,train
i get caught up in my problems.,i get upset easily.,0.378615348,train
i believe in an eye for an eye.,i have a soft heart.,-0.167178877,train
i feel anxious when i think about the sexual aspects of my life.,"not only am i be capable of relating to a sexual partner, but it's important to me that i relate very well.",-0.239010662,train
i couldn't seem to experience any positive feeling at all.,i felt that i had lost interest in just about everything.,0.627939694,train
i hold back my opinions.,i like to do things for others.,-0.005892362,train
i am often in a bad mood.,i believe that most people would lie to get ahead.,0.214732379,train
i always know why i do things.,i hold a grudge.,-0.081603739,train
it upsets me to see someone being treated disrespectfully.,i will be able to successfully overcome many challenges.,0.214930625,train
i am full of ideas.,i prefer to eat at expensive restaurants.,0.083239695,train
i do not feel sympathy for people who cause their own serious illnesses.,i often feel rejected.,0.02029335,train
i do things out of revenge.,i need a creative outlet.,-0.005606186,train
i react strongly to criticism.,i sympathize with others' feelings.,0.052906552,train
i contradict others.,i don't pride myself on being original.,-0.02203434,train
"not only would i be a good sexual partner, but it's quite important to me that i be a good sexual partner.",i am able to cope with and to handle my own sexual needs and wants.,0.237952448,train
i am out for my own personal gain.,i laugh a lot.,-0.026432743,train
i am indifferent to the feelings of others.,i don't talk a lot.,0.21101774,train
i don't mind being the center of attention.,i am full of ideas.,0.192652839,train
i am willing to take risks.,i make plans and stick to them.,0.040734934,train
other people tell me i am good at understanding how they are feeling and what they are thinking.,"if i had a collection (e.g. cds, coins, stamps), it would be highly organised.",-0.097493378,train
i avoid contacts with others.,i believe in human goodness.,-0.266975681,train
i do things according to a plan.,i like to begin new things.,-0.01851878,train
i engage in discussions.,"i want everything to be ""just right"".",-0.036843864,train
i don't think that i'm better than other people.,i have a strong need for power.,-0.341686038,train
i hold a grudge.,i am full of ideas.,-0.012718785,train
i am mainly interested in money.,i am wary of others.,0.107424215,train
i have leadership abilities.,i would never take things that aren't mine.,-0.003174548,train
i have leadership abilities.,i look at the bright side of life.,0.266439902,train
i seldom experience sudden intuitive insights.,i let people push me around to help them feel important.,0.072007402,train
i am relaxed most of the time.,i judge people by their appearance.,-0.084819083,train
i care a lot about how i present myself to others.,i believe i can succeed at most any endeavor to which i set my mind.,0.080175597,train
i contradict others.,i have a slow pace to my life.,0.028513423,train
i am tolerant of ambiguous situations.,my social relationships are supportive and rewarding.,0.106828315,train
i like to take my time.,"i want everything to be ""just right"".",0.05600211,train
i amuse my friends.,i try to follow the rules.,-0.020416232,train
i feel at ease with people.,i would hate to be considered odd or strange.,0.105197117,train
i am interested in many things.,i try not to think about the needy.,-0.193193508,train
i am full of ideas.,i like to act on a whim.,0.182522497,train
i read a large variety of books.,i am the life of the party.,0.008839134,train
i try to outdo others.,i put people under pressure.,0.32990309,train
i am quick to judge others.,i need reassurance.,0.097136681,train
i act wild and crazy.,i cry during movies.,0.04236021,train
i try not to think about the needy.,"i when with a group, have difficulties selecting a good topic to talk about.",0.14008684,train
i rarely feel angry with people.,i try to impress others.,-0.06491319,train
i always know why i do things.,i can handle a lot of information.,0.115837458,train
i am not sure where my life is going.,i recover quickly from stress and illness.,-0.303510815,train
i am relaxed most of the time.,i can't stand being contradicted.,-0.199853218,train
i am hard to convince.,i try to follow the rules.,-0.129942839,train
i tell other people what they want to hear so that they will do what i want them to do.,i have difficulty imagining things.,0.06839324,train
i often worry about things that turn out to be unimportant.,i make plans and stick to them.,-0.04088199,train
i believe that laws should be strictly enforced.,i have leadership abilities.,-0.002794947,train
i dislike routine.,i get upset easily.,-0.028445978,train
i keep things tidy.,i am hard to get to know.,-0.044037107,train
"i have an intense, boisterous laugh.",i let people push me around to help them feel important.,-0.030823919,train
